alunoId,cursos
1747707,123758|124263|124870|123807|124170|124167|920089|124844|920082|124621|920084|124303|123574|920085|123650|920081|124125|120292|920091|124248|124598|124808|124166|123260|123438|920087|123544|124172
1748820,124
1752924,123758|920094|123428|920081|920091|920092|123787
1759759,123758|124603
1760522,123758|920083|920081|920091|121917|920087
1761987,123758|124603
1763534,123758|123557|124341|124115|124561|123280|123279|123719|123719|124098|124093|10004|122094|123231|124303|124303|123743|920085|920090|123489|123650|122895|124603|120018|120292|920091|124317|120808|121555|122011|123260|123230|124129|123487|124382|123606
1763570,123758|123684|920082|10004|920083|920084|123629|920085|920081|10007|124603|10008|10008|920091|920092|920086|123448|920087
1768232,123758|123627|124603|124124
1771482,123758|124069|123235|123891|123918|121715|124597|124587|124125|124577|123260|124108|123617|124640|123787|124187|123920|124608
1771792,124
1773150,123758|123407|123750|123782|123644|920094|920080|920083|920084|920085|920081|920081|10008|920092|920086|123453|123927|920087
1773450,123758|124094|123789|123047
1779492,123758|920080|123684|920089|920089|920082|10004|920084|920085|920085|920090|920090|124603
1781141,123758|920089|920083|122181|122181|122181|920084|121715|124603|123928|920088
1785858,124
1785958,123758|124093|122129|124094|920084|123118|121917
1788348,123758|123758
1789167,124
1792368,124
1796285,123758|124079|124433|920107|124098|123875
1802076,124
1804784,123758|124088|920094|920080|920089|920082|124621|122094|124597|920081|920081|10008|920091|920091|920088
1808242,124
1808354,123758|11119|920085|920090|920090|124597|920081|10008|920092|920086
1809353,124
1811797,123758|123787
1814873,123758|121377|123735|120292|920086|120808
870998,123758|10006|920094|123279|920080|920089|122760|10005|123691|920090|920081|123118|124280|124125|122291|920091|121440|124838|124838|123871
1773771,124
1155344,124328|920090
1258867,124328|920084|124723|120018|120292|121440
1268104,124328|124411
1269218,124328|920076|920094|920089|920082|920085|920091|920087|920088
1723084,124328|10006|124665|920089|920089|920083|124695|123928|920087|124662
1728857,124
1734585,124328|124339|124421|124367|122060|123616|124579|124125|920091|121555|121917|121439|124354|124567
1739099,124328|122094|123053|920087|920088
1757276,124328|124328|123637|123171|124093|124336|124336|123115|124366|124366|122181|121019|121019|124303|124303|124099|124386|124386|120292|120292|120292|124317|124317|123230|122430|122050
1759594,124328|123661|10006|123598|124107|124093|124266|920082|124094|123182|123231|124157|124099|123703|124603|120292|920091|122430|124354|124083|124265|124267
1760962,124328|10006|10006|123616|920089|920085|120292
1761947,124328|124127|124065|123598|123735|124511|920094|124098|920089|920082|10004|124251|920084|124688|124000|123586|124271|123118|123486|124125|920091|124248|123453|123556|123732|124140|123794|122392|124470
1767228,124328|920094|124847|920083|920083|123086|124490
1767946,124328|121019|920085|920091|124140
1768230,124328|10006|123912|124421|920094|124723|121715|124125|120018|120018|120292|123260
1770377,124328|124263|920094|920083|920083|920083|920085|920081|124191|920086|124617
1783978,124328|124421|124421|124409|124561|123279|920080|123115|124366|124270|124000|124000|920100|123231|124303|124099|920090|121715|124125|120018|120292|122291|122291|123928|920091|124392|124467|123260|123260|124198|124140
1792783,124328|124648|124794|124421|124511|124409|124688|124584|124125|120018|120292|123928|124317|124591|123556|123260|124140|124567|124567|124693
1799263,124328|920081
1826127,124328|124511|124367|920080|124688|124303|120018|120292|920091|121555|124140
519120,124328|120292
1143984,123370|123901|920092|920086|123902
1236200,123370|121440
1709888,123
1734765,123370|10006
1746954,123370|123750|920081|920088
